,rep,species,medium,OD,time,fold_change
322,0,B_animalis_subsp_lactis_BL_04,M2,0.1,18,0.0
323,0,B_animalis_subsp_lactis_BL_04,M2,0.1,24,0.0
324,0,B_animalis_subsp_lactis_BL_04,M2,0.1,48,0.0
325,0,B_animalis_subsp_lactis_BL_04,M3,0.1,8,0.0
326,0,B_animalis_subsp_lactis_BL_04,M3,0.1,12,0.0
327,0,B_animalis_subsp_lactis_BL_04,M3,0.1,18,0.0
328,0,B_animalis_subsp_lactis_BL_04,M3,0.1,24,0.0
329,0,B_animalis_subsp_lactis_BL_04,M3,0.1,48,0.0
330,0,B_animalis_subsp_lactis_BL_04,M4,0.1,8,0.0
331,0,B_animalis_subsp_lactis_BL_04,M4,0.1,12,0.0
332,0,B_animalis_subsp_lactis_BL_04,M4,0.1,18,0.0
333,0,B_animalis_subsp_lactis_BL_04,M4,0.1,24,0.0
334,0,B_animalis_subsp_lactis_BL_04,M4,0.1,48,0.0
335,0,B_animalis_subsp_lactis_BL_04,M5,0.1,8,0.0
336,0,B_animalis_subsp_lactis_BL_04,M5,0.1,12,0.0
337,0,B_animalis_subsp_lactis_BL_04,M5,0.1,18,0.0
338,0,B_animalis_subsp_lactis_BL_04,M5,0.1,24,0.0
339,0,B_animalis_subsp_lactis_BL_04,M5,0.1,48,0.0
340,0,B_animalis_subsp_lactis_BL_04,M7,0.1,8,0.0
341,0,B_animalis_subsp_lactis_BL_04,M7,0.1,12,0.0
342,0,B_animalis_subsp_lactis_BL_04,M7,0.1,18,0.0
343,0,B_animalis_subsp_lactis_BL_04,M7,0.1,24,0.0
344,0,B_animalis_subsp_lactis_BL_04,M7,0.1,48,0.0
345,0,B_animalis_subsp_lactis_BL_04,M8,0.1,8,0.0
346,0,B_animalis_subsp_lactis_BL_04,M8,0.1,12,0.0
347,0,B_animalis_subsp_lactis_BL_04,M8,0.1,18,0.0
348,0,B_animalis_subsp_lactis_BL_04,M8,0.1,24,0.0
349,0,B_animalis_subsp_lactis_BL_04,M8,0.1,48,0.0
350,0,B_animalis_subsp_lactis_BL_04,M9,0.1,8,0.0
351,0,B_animalis_subsp_lactis_BL_04,M9,0.1,12,0.0
352,0,B_animalis_subsp_lactis_BL_04,M9,0.1,18,0.0
353,0,B_animalis_subsp_lactis_BL_04,M9,0.1,24,0.0
354,0,B_animalis_subsp_lactis_BL_04,M9,0.1,48,0.0
355,0,B_animalis_subsp_lactis_BL_04,M10,0.1,8,0.0
356,0,B_animalis_subsp_lactis_BL_04,M10,0.1,12,0.0
357,0,B_animalis_subsp_lactis_BL_04,M10,0.1,18,0.0
358,0,B_animalis_subsp_lactis_BL_04,M10,0.1,24,0.0
359,0,B_animalis_subsp_lactis_BL_04,M10,0.1,48,0.0
360,0,B_animalis_subsp_lactis_BL_04,M11,0.1,8,0.0
361,0,B_animalis_subsp_lactis_BL_04,M11,0.1,12,0.0
362,0,B_animalis_subsp_lactis_BL_04,M11,0.1,18,0.0
363,0,B_animalis_subsp_lactis_BL_04,M11,0.1,24,0.0
364,0,B_animalis_subsp_lactis_BL_04,M11,0.1,48,0.0
365,0,B_animalis_subsp_lactis_BL_04,M13,0.1,8,0.0
366,0,B_animalis_subsp_lactis_BL_04,M13,0.1,12,0.0
367,0,B_animalis_subsp_lactis_BL_04,M13,0.1,18,0.0
368,0,B_animalis_subsp_lactis_BL_04,M13,0.1,24,0.0
369,0,B_animalis_subsp_lactis_BL_04,M13,0.1,48,0.0
370,0,B_animalis_subsp_lactis_BL_04,M14,0.1,8,0.0
371,0,B_animalis_subsp_lactis_BL_04,M14,0.1,12,0.0
372,0,B_animalis_subsp_lactis_BL_04,M14,0.1,18,0.0
373,0,B_animalis_subsp_lactis_BL_04,M14,0.1,24,0.0
374,0,B_animalis_subsp_lactis_BL_04,M14,0.1,48,0.0
375,0,B_animalis_subsp_lactis_BL_04,M16,0.1,8,0.0
376,0,B_animalis_subsp_lactis_BL_04,M16,0.1,12,0.0
377,0,B_animalis_subsp_lactis_BL_04,M16,0.1,18,0.0
378,0,B_animalis_subsp_lactis_BL_04,M16,0.1,24,0.0
379,0,B_animalis_subsp_lactis_BL_04,M16,0.1,48,0.0
380,0,B_crossotus,M1,0.1,8,0.0
381,0,B_crossotus,M1,0.1,12,0.0
382,0,B_crossotus,M1,0.1,18,0.0
383,0,B_crossotus,M1,0.1,24,0.0
384,0,B_crossotus,M1,0.1,48,0.0
385,0,B_crossotus,M2,0.1,8,0.0
386,0,B_crossotus,M2,0.1,12,0.0
387,0,B_crossotus,M2,0.1,18,0.0
388,0,B_crossotus,M2,0.1,24,0.0
389,0,B_crossotus,M2,0.1,48,0.0
390,0,B_crossotus,M3,0.1,8,0.0
391,0,B_crossotus,M3,0.1,12,0.0
392,0,B_crossotus,M3,0.1,18,0.0
393,0,B_crossotus,M3,0.1,24,0.0
394,0,B_crossotus,M3,0.1,48,0.0
395,0,B_crossotus,M4,0.1,8,0.0
396,0,B_crossotus,M4,0.1,12,0.0
397,0,B_crossotus,M4,0.1,18,0.0
398,0,B_crossotus,M4,0.1,24,0.0
399,0,B_crossotus,M4,0.1,48,0.0
400,0,B_crossotus,M5,0.1,8,0.0
401,0,B_crossotus,M5,0.1,12,0.0
402,0,B_crossotus,M5,0.1,18,0.0
403,0,B_crossotus,M5,0.1,24,0.0
404,0,B_crossotus,M5,0.1,48,0.0
405,0,B_crossotus,M7,0.1,8,0.0
406,0,B_crossotus,M7,0.1,12,0.0
407,0,B_crossotus,M7,0.1,18,0.0
408,0,B_crossotus,M7,0.1,24,0.0
409,0,B_crossotus,M7,0.1,48,0.0
410,0,B_crossotus,M8,0.1,8,0.0
411,0,B_crossotus,M8,0.1,12,0.0
412,0,B_crossotus,M8,0.1,18,0.0
413,0,B_crossotus,M8,0.1,24,0.0
414,0,B_crossotus,M8,0.1,48,0.0
415,0,B_crossotus,M9,0.1,8,0.0
416,0,B_crossotus,M9,0.1,12,0.0
417,0,B_crossotus,M9,0.1,18,0.0
418,0,B_crossotus,M9,0.1,24,0.0
419,0,B_crossotus,M9,0.1,48,0.0
420,0,B_crossotus,M10,0.1,8,0.0
421,0,B_crossotus,M10,0.1,12,0.0
422,0,B_crossotus,M10,0.1,18,0.0
423,0,B_crossotus,M10,0.1,24,0.0
424,0,B_crossotus,M10,0.1,48,0.0
